confidence,sentence,arg1,rel,arg2,negated,passive,is_valuable,is_valuable_rel,is_valuable_arg2
0.9615261236584439,"Alabama Governor George Wallace, an infamous segregationist who ran on a third-party ticket in 1968, did well in South and among alienated and dissatisfied voters in North.",Alabama Governor George Wallace,did well,in South and among alienated and dissatisfied voters in North,False,False,1,1,1
0.9200287634688749,"Alabama Governor George Wallace, an infamous segregationist who ran on a third-party ticket in 1968, did well in South and among alienated and dissatisfied voters in North.",an infamous segregationist,ran,on a third-party ticket in 1968,False,False,0,1,0
0.9324144673478683,What might have become a forceful campaign was cut short when Wallace was shot in an assassination attempt by Arthur Bremer on May 15.,Wallace,was shot,in an assassination attempt by Arthur Bremer,False,True,1,1,1
0.9197759696552441,Wallace was struck by five bullets and left paralyzed from waist down.,Wallace,was left,paralyzed from waist down,False,True,q,q,q
0.9197759696552441,Wallace was struck by five bullets and left paralyzed from waist down.,Wallace,was struck,by five bullets,False,True,q,q,q
0.9812842971279687,"The day after an assassination attempt by Arthur Bremer on May 15, Wallace won Michigan and Maryland primaries, but shooting effectively ended Wallace campaign, and Wallace pulled out in July.",Wallace,won,Maryland primaries,False,False,q,q,q
0.9812842971279687,"The day after an assassination attempt by Arthur Bremer on May 15, Wallace won Michigan and Maryland primaries, but shooting effectively ended Wallace campaign, and Wallace pulled out in July.",Wallace,won,Michigan primaries,False,False,q,q,q
0.9324144673478683,"The day after an assassination attempt by Arthur Bremer on May 15, Wallace won Michigan and Maryland primaries, but shooting effectively ended Wallace campaign, and Wallace pulled out in July.",Wallace,pulled out,in July,False,False,q,q,q
0.9266232318014763,McGovern had led Hunt Commission to re-design Democratic nomination system after divisive nomination struggle and convention of 1968.,Hunt Commission,to re-design,Democratic nomination system,False,False,1,0,1
0.9567562066335041,McGovern had led Hunt Commission to re-design Democratic nomination system after divisive nomination struggle and convention of 1968.,McGovern,had led,Hunt Commission,False,False,q,q,q
